City,Latitude,Longitude
Ahmedabad,23.0225,72.5714
Amritsar,31.6340,74.8723
Bangalore,12.9716,77.5946
Bhopal,23.2599,77.4126
Bhubaneswar,20.2961,85.8245
Bilaspur,22.0796,82.1391
Chennai,13.0827,80.2707
Coimbatore,11.0168,76.9558
Cuttack,20.4625,85.8830
Dehradun,30.3165,78.0322
Durgapur,23.5204,87.3119
Dwarka,22.2394,68.9678
Faridabad,28.4089,77.3178
Gaya,24.7955,85.0002
Gurgaon,28.4595,77.0266
Guwahati,26.1445,91.7362
Haridwar,29.9457,78.1642
Hyderabad,17.3850,78.4867
Indore,22.7196,75.8577
Jaipur,26.9124,75.7873
Jamshedpur,22.8046,86.2029
Jodhpur,26.2389,73.0243
Kochi,9.9312,76.2673
Kolkata,22.5726,88.3639
Lucknow,26.8467,80.9462
Ludhiana,30.9010,75.8573
Mangalore,12.9141,74.8560
Mumbai,19.0760,72.8777
Mysore,12.2958,76.6394
Nagpur,21.1458,79.0882
New Delhi,28.6139,77.2090
Noida,28.5355,77.3910
Patna,25.5941,85.1376
Pune,18.5204,73.8567
Raipur,21.2514,81.6296
Ranchi,23.3441,85.3096
Silchar,24.8333,92.7789
Surat,21.1702,72.8311
Trivandrum,8.5241,76.9366
Vijayawada,16.5062,80.6480
Vishakhapatnam,17.6868,83.2185
Warangal,17.9784,79.5941
